ID;createdAt;createdBy;role;name;email;isDeactivated;password;occupation;visiteddays;lastvisit
012A0348-5097-1455-1E48-DDAF6EB5202F;2021-01-25;max.mustermann@muster.com;scrummanager;b;b@b.com;false;19000;germany;235;2022-12-29
0135CF4D-9803-5E37-4F77-0214324EA6F1;2020-01-25;max.mustermann@muster.com;scrummanager;c;c@c.com;false;24000;germany;43;2022-12-29
014F4DCC-7802-1BD3-2531-40E2D9317E83;2019-01-25;max.mustermann@muster.com;scrummanager;d;d@d.com;false;16000;germany;4382;2022-12-29
016522C1-2DF3-4611-A45C-1CBF7D507EDF;2020-01-25;max.mustermann@muster.com;scrummanager;e;e@e.com;false;95000;germany;35;2022-12-29
01697B24-176F-8A1A-3FF5-94FC9E7A2196;2019-01-25;max.mustermann@muster.com;scrummanager;f;f@f.com;false;19000;germany;3489;2022-12-29
018036C4-3A51-5D68-7621-EEF2C6E822B5;2019-01-25;max.mustermann@muster.com;softwareengineer;g;g@g.com;false;22000;germany;3;2022-12-29
018B91FA-98EC-7CD0-2193-A69A6D252014;2020-01-25;max.mustermann@muster.com;softwareengineer;h;h@h.com;false;96000;germany;54;2022-12-29
019E235D-11EB-4AEA-3797-A43652681632;2019-01-25;max.mustermann@muster.com;softwareengineer;i;i@i.com;false;55000;germany;39;2022-12-29
01BDDD21-55F6-3D87-9BDA-4310D0B42D0E;2020-01-25;max.mustermann@muster.com;softwareengineer;j;j@j.com;false;22000;germany;394;2022-12-29
01DF1F40-03DA-2A35-3AAC-61D957A519F2;2019-01-25;max.mustermann@muster.com;softwareengineer;k;k@k.com;false;58000;germany;55;2022-12-29
01EDD2E7-91B9-8064-5C9C-D7593C72561D;2021-01-25;max.mustermann@muster.com;softwareengineer;l;l@l.com;false;83000;germany;339;2022-12-29
01F31865-4A8C-1402-5FCD-132CA5D82BAF;2019-01-25;max.mustermann@muster.com;softwareengineer;m;m@m.com;false;79000;germany;345;2022-12-29
020FBAC4-2331-1C92-4564-DC3E416E800A;2020-01-25;max.mustermann@muster.com;softwareengineer;n;n@n.com;false;100000;germany;0;2022-12-29
02254C27-3EA6-25AF-1A51-FF0C17441B8F;2021-01-25;max.mustermann@muster.com;softwareengineer;o;o@o.com;false;75000;germany;842;2022-12-29
0232C48D-0ECC-64FC-4DEE-F0E4BC9F3DF4;2021-01-25;max.mustermann@muster.com;softwareengineer;p;p@p.com;false;79000;germany;841;2022-12-29
025C263E-559E-1A72-41F2-D851198216DC;2019-01-25;max.mustermann@muster.com;softwareengineer;q;q@q.com;false;17000;germany;23;2022-12-29
02737A17-5947-3C00-743A-A809E69E64FE;2021-01-25;max.mustermann@muster.com;softwareengineer;r;r@r.com;false;87000;germany;334;2022-12-29
027D246B-7518-4B84-4052-78BFEA815E71;2020-01-25;max.mustermann@muster.com;softwareengineer;s;s@s.com;false;61000;germany;438;2022-12-29
027D246B-7518-4B84-4052-78BFAA815E71;2020-01-25;max.mustermann@muster.com;softwareengineer;t;s@s.com;false;61000;germany;438;2022-12-29
